observer_count = 12, target_count = 24, radius = 5, iteration = 15, score = 1.17867, selectionStrategy = 1, crossover_strategy = 2, crossover_probability = 0.85
observer_count = 12, target_count = 24, radius = 5, iteration = 15, score = 1.46667, selectionStrategy = 2, crossover_strategy = 1, crossover_probability = 0.95
observer_count = 12, target_count = 24, radius = 5, iteration = 15, score = 0.582, selectionStrategy = 2, crossover_strategy = 1, crossover_probability = 0.85
observer_count = 12, target_count = 24, radius = 5, iteration = 15, score = 1.088, selectionStrategy = 2, crossover_strategy = 2, crossover_probability = 0.95
observer_count = 12, target_count = 24, radius = 5, iteration = 15, score = 1.216, selectionStrategy = 2, crossover_strategy = 2, crossover_probability = 0.85
observer_count = 12, target_count = 24, radius = 5, iteration = 16, score = 1.08, selectionStrategy = 1, crossover_strategy = 1, crossover_probability = 0.95
observer_count = 12, target_count = 24, radius = 5, iteration = 16, score = 1.31333, selectionStrategy = 1, crossover_strategy = 1, crossover_probability = 0.85
observer_count = 12, target_count = 24, radius = 5, iteration = 16, score = 1.13067, selectionStrategy = 1, crossover_strategy = 2, crossover_probability = 0.95
observer_count = 12, target_count = 24, radius = 5, iteration = 16, score = 1.186, selectionStrategy = 1, crossover_strategy = 2, crossover_probability = 0.85
observer_count = 12, target_count = 24, radius = 5, iteration = 16, score = 1.538, selectionStrategy = 2, crossover_strategy = 1, crossover_probability = 0.95
observer_count = 12, target_count = 24, radius = 5, iteration = 16, score = 1.44533, selectionStrategy = 2, crossover_strategy = 1, crossover_probability = 0.85
observer_count = 12, target_count = 24, radius = 5, iteration = 16, score = 1.248, selectionStrategy = 2, crossover_strategy = 2, crossover_probability = 0.95
observer_count = 12, target_count = 24, radius = 5, iteration = 16, score = 1.472, selectionStrategy = 2, crossover_strategy = 2, crossover_probability = 0.85
observer_count = 12, target_count = 24, radius = 5, iteration = 17, score = 0.928667, selectionStrategy = 1, crossover_strategy = 1, crossover_probability = 0.95
observer_count = 12, target_count = 24, radius = 5, iteration = 17, score = 1.40733, selectionStrategy = 1, crossover_strategy = 1, crossover_probability = 0.85
observer_count = 12, target_count = 24, radius = 5, iteration = 17, score = 1.566, selectionStrategy = 1, crossover_strategy = 2, crossover_probability = 0.95
observer_count = 12, target_count = 24, radius = 5, iteration = 17, score = 1.128, selectionStrategy = 1, crossover_strategy = 2, crossover_probability = 0.85
observer_count = 12, target_count = 24, radius = 5, iteration = 17, score = 1.632, selectionStrategy = 2, crossover_strategy = 1, crossover_probability = 0.95
observer_count = 12, target_count = 24, radius = 5, iteration = 17, score = 1.10933, selectionStrategy = 2, crossover_strategy = 1, crossover_probability = 0.85
observer_count = 12, target_count = 24, radius = 5, iteration = 17, score = 1.21933, selectionStrategy = 2, crossover_strategy = 2, crossover_probability = 0.95
observer_count = 12, target_count = 24, radius = 5, iteration = 17, score = 1.05067, selectionStrategy = 2, crossover_strategy = 2, crossover_probability = 0.85
observer_count = 12, target_count = 24, radius = 5, iteration = 18, score = 1.39467, selectionStrategy = 1, crossover_strategy = 1, crossover_probability = 0.95
observer_count = 12, target_count = 24, radius = 5, iteration = 18, score = 1.40733, selectionStrategy = 1, crossover_strategy = 1, crossover_probability = 0.85
observer_count = 12, target_count = 24, radius = 5, iteration = 18, score = 1.32733, selectionStrategy = 1, crossover_strategy = 2, crossover_probability = 0.95
observer_count = 12, target_count = 24, radius = 5, iteration = 18, score = 1.33667, selectionStrategy = 1, crossover_strategy = 2, crossover_probability = 0.85
observer_count = 12, target_count = 24, radius = 5, iteration = 18, score = 1.24533, selectionStrategy = 2, crossover_strategy = 1, crossover_probability = 0.95
observer_count = 12, target_count = 24, radius = 5, iteration = 18, score = 1.482, selectionStrategy = 2, crossover_strategy = 1, crossover_probability = 0.85
observer_count = 12, target_count = 24, radius = 5, iteration = 18, score = 1.10667, selectionStrategy = 2, crossover_strategy = 2, crossover_probability = 0.95
observer_count = 12, target_count = 24, radius = 5, iteration = 18, score = 1.40067, selectionStrategy = 2, crossover_strategy = 2, crossover_probability = 0.85
observer_count = 12, target_count = 24, radius = 5, iteration = 19, score = 1.502, selectionStrategy = 1, crossover_strategy = 1, crossover_probability = 0.95
