observer_count = 18, target_count = 27, radius = 5, iteration = 4, score = 1.64667
observer_count = 2, target_count = 3, radius = 5, iteration = 5, score = 0.00133333
observer_count = 2, target_count = 6, radius = 5, iteration = 5, score = 0
observer_count = 2, target_count = 9, radius = 5, iteration = 5, score = 0.046
observer_count = 2, target_count = 15, radius = 5, iteration = 5, score = 0.0953332
observer_count = 2, target_count = 21, radius = 5, iteration = 5, score = 0.239333
observer_count = 2, target_count = 27, radius = 5, iteration = 5, score = 0.335333
observer_count = 6, target_count = 3, radius = 5, iteration = 5, score = 0
observer_count = 6, target_count = 6, radius = 5, iteration = 5, score = 0.103333
observer_count = 6, target_count = 9, radius = 5, iteration = 5, score = 0.044
observer_count = 6, target_count = 15, radius = 5, iteration = 5, score = 0.139333
observer_count = 6, target_count = 21, radius = 5, iteration = 5, score = 0.237333
observer_count = 6, target_count = 27, radius = 5, iteration = 5, score = 0.417333
observer_count = 10, target_count = 3, radius = 5, iteration = 5, score = 0.254
observer_count = 10, target_count = 6, radius = 5, iteration = 5, score = 0.0266667
observer_count = 10, target_count = 9, radius = 5, iteration = 5, score = 0.194
observer_count = 10, target_count = 15, radius = 5, iteration = 5, score = 0.320666
observer_count = 10, target_count = 21, radius = 5, iteration = 5, score = 0.997333
observer_count = 10, target_count = 27, radius = 5, iteration = 5, score = 0.682667
observer_count = 14, target_count = 3, radius = 5, iteration = 5, score = 0.0626667
observer_count = 14, target_count = 6, radius = 5, iteration = 5, score = 0.312
observer_count = 14, target_count = 9, radius = 5, iteration = 5, score = 0.0860001
observer_count = 14, target_count = 15, radius = 5, iteration = 5, score = 0.566667
observer_count = 14, target_count = 21, radius = 5, iteration = 5, score = 0.652667
observer_count = 14, target_count = 27, radius = 5, iteration = 5, score = 1.08267
observer_count = 18, target_count = 3, radius = 5, iteration = 5, score = 0.0366667
observer_count = 18, target_count = 6, radius = 5, iteration = 5, score = 0.201333
observer_count = 18, target_count = 9, radius = 5, iteration = 5, score = 0.357333
observer_count = 18, target_count = 15, radius = 5, iteration = 5, score = 1.33333
observer_count = 18, target_count = 21, radius = 5, iteration = 5, score = 1.20133
observer_count = 18, target_count = 27, radius = 5, iteration = 5, score = 1.91733
observer_count = 2, target_count = 3, radius = 5, iteration = 6, score = 0
observer_count = 2, target_count = 6, radius = 5, iteration = 6, score = 0.00133333
observer_count = 2, target_count = 9, radius = 5, iteration = 6, score = 0
observer_count = 2, target_count = 15, radius = 5, iteration = 6, score = 0.058
observer_count = 2, target_count = 21, radius = 5, iteration = 6, score = 0.092
observer_count = 2, target_count = 27, radius = 5, iteration = 6, score = 0.0826665
observer_count = 6, target_count = 3, radius = 5, iteration = 6, score = 0
observer_count = 6, target_count = 6, radius = 5, iteration = 6, score = 0.074
observer_count = 6, target_count = 9, radius = 5, iteration = 6, score = 0.162
observer_count = 6, target_count = 15, radius = 5, iteration = 6, score = 0.503333
observer_count = 6, target_count = 21, radius = 5, iteration = 6, score = 0.438667
observer_count = 6, target_count = 27, radius = 5, iteration = 6, score = 0.524
observer_count = 10, target_count = 3, radius = 5, iteration = 6, score = 0
observer_count = 10, target_count = 6, radius = 5, iteration = 6, score = 0.0973333
observer_count = 10, target_count = 9, radius = 5, iteration = 6, score = 0.434667
observer_count = 10, target_count = 15, radius = 5, iteration = 6, score = 0.323333
observer_count = 10, target_count = 21, radius = 5, iteration = 6, score = 0.526667
observer_count = 10, target_count = 27, radius = 5, iteration = 6, score = 1.26067
observer_count = 14, target_count = 3, radius = 5, iteration = 6, score = 0.0893333
observer_count = 14, target_count = 6, radius = 5, iteration = 6, score = 0.214667
observer_count = 14, target_count = 9, radius = 5, iteration = 6, score = 0.206
observer_count = 14, target_count = 15, radius = 5, iteration = 6, score = 0.536666
observer_count = 14, target_count = 21, radius = 5, iteration = 6, score = 1.188
observer_count = 14, target_count = 27, radius = 5, iteration = 6, score = 1.11933
observer_count = 18, target_count = 3, radius = 5, iteration = 6, score = 0.224
observer_count = 18, target_count = 6, radius = 5, iteration = 6, score = 0.106667
